#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A68A76
#Date Time: 2019-03-19 09:03:45.091
#Sample rate: 4e+06Hz
#Samples: 8192
#Trigger: Source: Channel 2 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 100 mV/div Offset: 300 mV
#Channel 2: Range: 2 V/div Offset: -4 V
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Sine
#Frequency: 1 kHz
#Amplitude: 100 mV
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °

Time (s),Channel 1 (V),Channel 2 (V)
-0.00089675,-0.05871,3.14087
-0.0008965,-0.0554136,3.14419
-0.00089625,-0.0521172,3.15413
-0.000896,-0.0521172,3.15413
-0.00089575,-0.05871,3.16408
-0.0008955,-0.0521172,3.17071
-0.00089525,-0.0521172,3.17071
-0.000895,-0.0521172,3.17402
-0.00089475,-0.0521172,3.18728
-0.0008945,-0.0488208,3.19391
-0.00089425,-0.0521172,3.20054
-0.000894,-0.0521172,3.21049
-0.00089375,-0.0488208,3.22375
-0.0008935,-0.0521172,3.23369
-0.00089325,-0.05871,3.23369
-0.000893,-0.0620064,3.24032
-0.00089275,-0.05871,3.25027
-0.0008925,-0.0620064,3.25027
-0.00089225,-0.05871,3.2569
-0.000892,-0.0554136,3.2569
-0.00089175,-0.05871,3.26684
-0.0008915,-0.0554136,3.27679
-0.00089125,-0.05871,3.2801
-0.000891,-0.05871,3.28673
-0.00089075,-0.05871,3.29005
-0.0008905,-0.05871,3.29336
-0.00089025,-0.0521172,3.30331
-0.00089,-0.0554136,3.30662
-0.00088975,-0.0554136,3.31325
-0.0008895,-0.0521172,3.3232
-0.00088925,-0.0521172,3.32983
-0.000889,-0.05871,3.32651
-0.00088875,-0.0521172,3.32651
-0.0008885,-0.0554136,3.33314
-0.00088825,-0.0554136,3.34309
-0.000888,-0.0554136,3.35634
-0.00088775,-0.0521172,3.36297
-0.0008875,-0.0554136,3.36629
-0.00088725,-0.0554136,3.37955
-0.000887,-0.05871,3.38949
-0.00088675,-0.0620064,3.39281
-0.0008865,-0.0620064,3.40275
-0.00088625,-0.0620064,3.40938
-0.000886,-0.05871,3.42264
-0.00088575,-0.05871,3.42927
-0.0008855,-0.0620064,3.43259
-0.00088525,-0.05871,3.44253
-0.000885,-0.05871,3.44585
-0.00088475,-0.0521172,3.45248
-0.0008845,-0.0521172,3.44916
-0.00088425,-0.0554136,3.44916
