Frequency (Hz),Channel 2 Magnitude (dB),Channel 2 Phase (°)
49.365369045113844,-22.842770122452535,-150.00602800935604
49.822600521355774,-3.9458924769767818,-28.581483829823341
50.284066962855938,-26.7020363663597,150.17682141564555
50.749807594671431,-4.959394460208884,-49.594682875957282
51.21986200516919,-11.822639040387372,-92.164581020985494
51.694270149391272,-18.176218035735236,-111.6565407305994
52.173072352450959,-3.8164796340708644,-5.0485297029930933
52.656309312960403,-25.682888875791029,85.568377490681144
53.144022106490127,-3.8798548335597891,-6.1947242239890841
53.636252189060308,-10.095955169318017,38.402666672213485
54.133041400664823,-19.156287291343123,56.306985045805277
54.634431968827521,-5.6576863889075613,11.724677402284172
55.140466512191658,-10.576821871307489,30.467998793419426
55.651188044142515,-3.953660346143133,-32.911226008340691
56.166639976463451,-20.007637265106212,-45.837467461150865
56.686866123026185,-5.9160167450716559,1.407433781510079
57.211910703514839,-11.015332413853702,-60.597683582290415
57.74181834718469,-7.6596892236278,-52.759162043389395
58.276634096655769,-11.750988194642794,-2.5083623482130406
58.816403411741277,-10.562995599724921,-4.7935036102496724
59.361172173312049,-10.788859184419803,-40.31832553983952
59.910986687196271,-6.2515316363217375,-37.522211290476591
60.465893688115521,-8.5867178565824513,-14.182498521446121
61.02594034365741,-6.2529092165408997,-33.473652109617959
61.591174258284525,-6.5247109264115331,-22.243450598768973
62.161643477381276,-8.4162764423437242,-25.365299039701682
62.737396491337527,-6.8022737863704075,-24.515232963901937
63.318482239670409,-6.4301025462027726,-28.85025324819938
63.90495011518427,-6.8571052067788294,-32.849899946571028
64.496849968168831,-7.0900648881245125,-29.265713331537398
65.094232110636966,-6.489574570583204,-29.752669208082665
65.697147320600862,-6.3653524606097989,-30.951142766882214
66.30564684638847,-6.2814961963857607,-32.361460636273421
66.919782410999488,-6.3392676300418174,-32.334992131078536
67.539606216501824,-6.1059750159450346,-32.529019860758353
68.16517094846904,-5.9931265551940216,-32.867596197793631
68.796529780458499,-5.8797825883922608,-33.357751424254872
69.433736378531194,-5.7353365714760871,-33.868759835329911
70.076844905813516,-5.5762600512768312,-34.462532356319684
70.725910027100852,-5.4461188370290419,-34.76008240682927
71.3809869135046,-5.352821453458505,-35.145986517018628
72.042131247141398,-5.171253804841931,-35.714404887052183
