Hz,PHASE(v_out)
1258.92541503906,180
1288.24951171875,180
1318.25671386719,180
1348.962890625,180
1380.38427734375,180
1412.53759765625,180
1445.43981933594,180
1479.1083984375,180
1513.56127929688,180
1548.81665039063,180
1584.89318847656,180
1621.81005859375,180
1659.5869140625,180
1698.24365234375,180
1737.80078125,180
1778.27941894531,180
1819.70080566406,180
1862.08715820313,180
1905.46069335938,180
1949.84460449219,180
1995.26232910156,180
2041.73791503906,180
2089.29614257813,180
2137.96215820313,180
2187.76171875,180
2238.72119140625,180
2290.86767578125,180
2344.22875976563,180
2398.8330078125,180
2454.708984375,180
2511.88647460938,180
2570.39575195313,180
2630.26806640625,180
2691.53491210938,180
2754.22875976563,180
2818.3828125,180
2884.03149414063,180
2951.20922851563,180
3019.95166015625,180
3090.29541015625,180
3162.27758789063,180
3235.9365234375,180
3311.31127929688,180
3388.44165039063,180
3467.36840820313,180
3548.1337890625,180
3630.78051757813,180
3715.35229492188,180
3801.89404296875,180
3890.45141601563,180
3981.07177734375,180
4073.802734375,180
4168.69384765625,180
4265.79541015625,180
4365.158203125,180
4466.8359375,180
4570.8818359375,180
4677.3515625,180
4786.30078125,180
4897.7880859375,180
5011.87255859375,180
5128.61376953125,180
5248.07470703125,180
5370.31787109375,180
5495.40869140625,180
5623.4130859375,180
5754.3994140625,180
5888.4365234375,180
6025.595703125,180
6165.9501953125,180
6309.5732421875,180
6456.54248046875,180
6606.9345703125,180
6760.82958984375,180
6918.3095703125,180
7079.4580078125,180
7244.359375,180
7413.1025390625,180
7585.77587890625,180
7762.47119140625,180
7943.2822265625,180
8128.30517578125,180
8317.6376953125,180
8511.380859375,180
8709.6357421875,180
8912.509765625,180
9120.1083984375,180
9332.54296875,180
9549.92578125,180
9772.3720703125,180
10000,180
10232.9296875,180
10471.28515625,180
10715.193359375,180
10964.7822265625,180
11220.1845703125,180
11481.5361328125,180
11748.9755859375,180
12022.64453125,180
12302.6875,180
12589.25390625,180
12882.4951171875,180
13182.5673828125,180
13489.62890625,180
13803.8427734375,180
14125.375,180
14454.3974609375,180
14791.083984375,180
15135.6123046875,180
15488.166015625,180
15848.931640625,180
16218.1005859375,180
16595.869140625,180
