Hz,dB(v_out),PHASE(v_out)
13.1825675964355,4.24184894561768,-176.130142211914
13.4896287918091,3.22908854484558,-176.476287841797
13.8038425445557,2.28145980834961,-176.767227172852
14.1253757476807,1.38869643211365,-177.015274047852
14.4543981552124,0.542733311653137,-177.229370117188
14.7910842895508,-0.262882232666016,-177.416107177734
15.135612487793,-1.03339111804962,-177.580459594727
15.4881658554077,-1.77310740947723,-177.726303100586
15.8489322662354,-2.4856231212616,-177.856658935547
16.2181015014648,-3.17396211624146,-177.973876953125
16.5958690643311,-3.84069204330444,-178.079925537109
16.9824371337891,-4.48801183700562,-178.176330566406
17.3780078887939,-5.11782121658325,-178.264404296875
17.7827949523926,-5.73176622390747,-178.345199584961
18.1970081329346,-6.33128929138184,-178.419616699219
18.62087059021,-6.91765642166138,-178.488388061523
